发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
1971-04-03 00:12:00,95.4,32.2,6.5,20,青海杂多东南,1,0
1971-03-24 00:12:00,98.1,35.5,6.3,13,青海玛多北,0,0
1971-03-23 00:12:00,79.3,41.4,6,0,新疆乌什北,0,0
1971-02-05 00:12:00,99.4,25.1,5.8,14,云南保山东,0,0
1970-12-03 00:12:00,105.583,35.93,5.5,27,宁夏西吉,117,50000
1970-11-08 00:12:00,101.4,32.15,5.5,50,四川壤塘东南,0,0
1970-09-05 00:12:00,101.33,32.15,5.5,20,四川壤塘东南,0,0
1970-07-31 00:12:00,103.73,28.63,5.4,44,四川雷波东北,0,26.4
1970-07-29 00:12:00,77.8,40.05,5.9,13,新疆巴楚西,0,2.5
1970-02-24 00:12:00,103.28,30.65,6.2,15,四川大邑西,0,0
1970-02-07 00:12:00,101.033,23.083,6.2,15,云南普洱西南,0,0
1970-01-05 00:12:00,102.683,24.2,7.8,13,云南通海,15621,30000
1969-12-17 00:12:00,110.6,18.5,5.1,33,海南万宁南,0,0
1969-09-14 00:12:00,74.8,39.7,5.5,43,新疆乌恰西,0,0
1969-07-26 00:12:00,111.8,22.32,6.4,5,广东阳江,33,4176
1969-07-18 00:12:00,119.4,38.2,7.4,35,渤海,10,5000
1969-02-12 00:12:00,79.3,41.5,6.3,10,新疆乌什东北,2,0
1968-04-01 00:12:00,117.6,25.1,5.2,--,福建华安,0,0
1967-12-18 00:12:00,111.22,36.47,5.4,30,山西蒲县,9,0
1967-12-03 00:12:00,115.22,37.72,5.7,25,河北束鹿南,0,30.6
1967-08-30 00:12:00,100.3,31.6,6.8,10,四川炉霍西北,39,0
1967-07-28 00:12:00,115.55,40.55,5.4,10,河北怀来东北,0,0
1967-03-27 00:12:00,116.5,38.5,6.3,--,河北河间、大城间,9,0
1967-01-24 00:12:00,104.1,30.2,5.5,4,四川仁寿附近,10,0
1966-10-11 00:12:00,103.8,27.9,5.2,--,云南永善南,0,0
1966-10-02 00:12:00,125.12,43.83,5.2,10,吉林怀德东北,0,0
1966-09-28 00:12:00,100.1,27.5,6.4,--,云南中甸,32,0
1966-09-23 00:12:00,104.5,26.2,5,--,云南宣威东,0,0
1966-09-19 00:12:00,97.7,24,5.4,--,云南瑞丽,0,0
1966-09-18 00:12:00,102.3,22.6,5.6,--,云南江城东,0,0
1966-04-20 00:12:00,114.87,37.25,5.3,14,河北隆尧南,0,0
1966-03-29 00:12:00,115.03,37.35,6,25,河北束鹿北,0,0
1966-03-26 00:12:00,115.26,37.68,6.2,15,河北束鹿南,0,0
1966-03-22 00:12:00,115.1,37.5,7.2,9,河北邢台宁晋东南,8064,100000
1966-03-20 00:12:00,114.97,37.27,5.6,--,河北巨鹿西北,0,0
1966-03-08 00:12:00,114.9,37.3,6.8,8,河北隆尧东,0,0
1966-03-06 00:12:00,115.03,37.47,5.2,--,河北宁晋南,0,0
1966-03-06 00:12:00,80.5,31.5,6.6,50,西藏扎达东,0,0
1966-02-13 00:12:00,103.1,26.1,6.2,--,云南东川,0,0
1966-02-05 00:12:00,103.1,26.1,6.5,4,云南东川,200,0
1966-01-31 00:12:00,99.7,27.9,5.1,--,云南中甸,0,0
1965-11-26 00:12:00,100.2,31.3,5.1,--,四川新龙北,0,4
1965-11-13 00:12:00,87.8,43.9,6.6,60,新疆乌鲁木齐东,7,2500
1965-07-03 00:12:00,101.6,22.4,6.1,--,云南景洪东北,0,0
1965-05-24 00:12:00,102.5,24,5.2,--,云南峨山,0,40.7
1965-01-13 00:12:00,111.63,35,5.5,10,山西垣曲,11,275.4
1964-11-20 00:12:00,101.4,25.2,5,--,云南南华附近,0,3
1964-10-22 00:12:00,93.8,28,6.6,37,西藏米林西南,0,0.5
1964-09-23 00:12:00,114.68,23.73,5.1,4,广东河源,0,16.1
1964-05-31 00:12:00,103.3,35.3,5,--,甘肃和政,0,3
1964-02-13 00:12:00,101,26.1,5.4,--,云南宾川东北,0,119.2
1963-12-18 00:12:00,82.6,41.9,5.1,18,新疆新和北,0,0
1963-10-08 00:12:00,110.5,42.9,5.4,4,内蒙古白云鄂博东北,0,0.3
1963-08-29 00:12:00,74.2,39.8,6.5,51,新疆乌恰西,1,25.5
1963-06-21 00:12:00,130.6,47.9,5.8,--,黑龙江萝北北,0,4
1963-04-23 00:12:00,99.5,25.8,6,20,云南云龙东南,0,12.8
1963-04-19 00:12:00,97,35.7,7,--,青海阿兰湖附近,0,0.8
1962-12-18 00:12:00,106.18,38.04,5.5,20,宁夏灵武、吴忠,0,0
1962-12-11 00:12:00,105.05,34.75,5,--,甘肃甘谷西北,0,0
1962-12-07 00:12:00,106.27,38.12,5.5,--,宁夏灵武、吴忠,0,25.7
1962-08-20 00:12:00,81.58,44.68,6.4,25,新疆温泉东南,0,1.9
1962-08-01 00:12:00,98.6,39.2,5.4,25,青海祁连山,1,0
1962-07-27 00:12:00,105.5,36.5,5,--,宁夏海原,0,0
1962-07-01 00:12:00,103.2,29.9,5.1,30,四川洪雅附近,0,9.9
1962-06-24 00:12:00,101.2,25.2,6.2,28,云南南华附近,7,0
1962-05-21 00:12:00,96,37.1,6.8,25,青海北霍布逊湖附近,0,7.3
1962-04-23 00:12:00,106.1,23.6,5.5,--,云南富宁,0,2.8
1962-04-20 00:12:00,106,24.3,5,14,广西田林西,0,0.2
1962-03-23 00:12:00,100,27.5,5,--,云南中甸东南,0,0
1962-03-19 00:12:00,114.67,23.72,6.1,5,广东河源,6,3020
1962-02-27 00:12:00,101.9,27.6,5.5,18,四川米易、德昌一带,0,0
1961-12-04 00:12:00,95,33,5.9,--,青海杂多一带,0,6.9
1961-10-01 00:12:00,104.78,34.33,5.7,--,甘肃岷县东,0,4
1961-06-27 00:12:00,99.75,27.73,6,10,云南中甸,1,0
1961-06-12 00:12:00,98.63,24.97,5.8,27,云南腾冲,6,302
1961-04-14 00:12:00,77.7,39.8,6.8,38,新疆巴楚西,0,0
1961-04-04 00:12:00,77.8,39.9,6.4,16,新疆巴楚西,0,0
1961-04-01 00:12:00,77.8,39.9,6.7,20,新疆巴楚西,0,0
1961-03-30 00:12:00,103.7,32.8,5.5,10,四川松潘东北,0,0
1960-11-09 00:12:00,103.7,32.7,6<sub>3/4</sub>,20,四川松潘,0,0
1960-11-05 00:12:00,108.5,24.3,5,--,广西都安一带,0,0
1960-09-02 00:12:00,98.5,28.9,5.5,33,西藏芒康东南,2,0.3
1960-04-13 00:12:00,127,44.7,5.8,10,吉林榆树附近,0,7
1960-02-03 00:12:00,104.5,33.8,5<sub>1/4</sub>,--,甘肃舟曲,0,0
1959-11-15 00:12:00,75.3,38.7,6.4,40,新疆公格尔山,0,0
1959-09-28 00:12:00,109.3,33,5,--,陕西洵阳一带,0,0
1959-08-11 00:12:00,110.9,35.6,5.4,--,陕西韩城附近,0,0
1959-07-03 00:12:00,115.3,31.8,5,--,河南潢川附近,0,0.4
1959-04-26 00:12:00,100.7,26.2,5<sub>3/4</sub>,--,云南宾川西北,1,0
1959-01-31 00:12:00,105.8,36.3,5,--,宁夏西吉北,0,0.4
1958-12-21 00:12:00,80.8,44.5,6.5,--,新疆温泉南,0,0
1958-09-25 00:12:00,109.5,22.5,5<sub>3/4</sub>,5,广西灵山东北,0,15.7
1958-02-08 00:12:00,104,31.5,6.2,18,四川茂汶、北川一带,1,50.1
1957-08-09 00:12:00,103,29.6,5,--,四川汉源东南,0,0
1957-06-11 00:12:00,112.5,38,5,--,山西太原,0,0
1957-06-06 00:12:00,112.8,37.6,5,--,山西太原,0,0
1957-01-01 00:12:00,115.5,40.5,5,--,河北涿鹿附近,0,0
1956-08-19 00:12:00,114,37.8,5,--,山西平定东北,3,0
1955-10-01 00:12:00,101.4,29.9,5<sub>3/4</sub>,--,四川康定,0,0
1955-09-28 00:12:00,101.8,26.5,5.5,--,云南永仁一带,0,0
1955-09-23 00:12:00,101.8,26.6,6<sub>3/4</sub>,--,云南永仁、四川会理一带,728,844
1955-06-07 00:12:00,100.9,27.3,5<sub>1/4</sub>,--,云南省宁蒗附近,0,0
1955-06-07 00:12:00,101.1,26.5,6,--,云南华坪,17,0
1955-05-27 00:12:00,105,25.5,5,--,云南宣威,0,0
1955-04-24 00:12:00,83.6,44.2,6.5,--,新疆乌苏西南,0,0
1955-04-15 00:12:00,74.6,39.9,7,--,新疆乌恰西,5,50000
1955-04-14 00:12:00,101.8,30,7.5,20,四川康定折多塘一带,94,50000
1954-10-24 00:12:00,104.8,29.4,5,--,四川自贡市,0,98
1954-07-31 00:12:00,104.2,38.8,7,--,内蒙古腾格里沙漠北,0,0
1954-07-21 00:12:00,101.1,27.6,5<sub>1/4</sub>,51,四川盐源西北,2,2
1954-06-17 00:12:00,116.6,31.6,5<sub>1/4</sub>,--,安徽合肥、六安一带,1,0
1954-02-11 00:12:00,101.3,39,7<sub>1/4</sub>,10,甘肃山丹东北,50,50000
1953-05-21 00:12:00,99.9,26.5,5,--,云南剑川,0,0
1953-05-04 00:12:00,103.2,24.2,5,--,云南弥勒西南,3,0
1953-04-23 00:12:00,96.7,30.5,5.5,--,西藏八宿附近,0,0
1952-12-08 00:12:00,99.7,22.9,5<sub>3/4</sub>,--,云南澜沧西北,0,0
1952-10-08 00:12:00,112.7,39,5.5,--,山西原平县崞阳镇东,58,267
1952-09-30 00:12:00,102.2,28.3,6<sub>3/4</sub>,--,四川冕宁、石龙一带,236,50000
1952-08-18 00:12:00,91.5,31,7.5,--,西藏当雄东北,54,50000
1952-06-26 00:12:00,102.2,30.1,5<sub>3/4</sub>,--,四川康定-泸定间,0,0
1952-06-19 00:12:00,99.8,22.7,6.5,--,云南澜沧附近,0,0
1952-02-06 00:12:00,102.3,27.9,5,--,四川西昌附近,0,0
1951-12-21 00:12:00,100,26.7,6<sub>1/4</sub>,20,云南剑川,423,1736
1951-11-18 00:12:00,91.4,31.1,8,--,西藏当雄附近,0,0
1950-09-13 00:12:00,103.1,23.5,5<sub>3/4</sub>,--,云南建水、开远一带,12,0
1950-08-15 00:12:00,96.7,28.4,8.6,--,西藏察隅、墨脱,3300,200000
1950-02-03 00:12:00,100.1,21.7,7,--,云南勐海西南,0,0
1949-11-13 00:12:00,102.5,30,5.5,--,四川康定、石棉一带,3,0
1949-09-16 00:12:00,103,24.2,5<sub>1/4</sub>,--,云南华宁盘溪,0,0
1949-02-24 00:12:00,84,42,7<sub>1/4</sub>,31,新疆库车东北,12,0
1948-12-23 00:12:00,130.4,44.9,5.2,15,黑龙江穆棱,0,0
1948-12-05 00:12:00,103.1,26.4,5,--,云南巧家南,0,0
1948-10-23 00:12:00,103.6,28.5,5.5,--,四川马边,0,0
1948-10-10 00:12:00,103.7,32,5,--,四川松潘南,0,0
1948-10-10 00:12:00,103.8,27.6,5<sub>3/4</sub>,--,云南彝良大关,25,0
1948-10-09 00:12:00,104,27.4,5<sub>3/4</sub>,--,贵州威宁北,58,0
1948-06-27 00:12:00,99.7,26.4,6<sub>1/4</sub>,--,云南剑川,280,0
1948-06-18 00:12:00,101.4,28.7,5<sub>3/4</sub>,--,四川木里北,3,0
1948-05-29 00:12:00,115.4,35.1,5.5,--,山东菏泽附近,0,0
1948-05-25 00:12:00,100.5,29.5,7.3,--,四川理塘,737,0
1948-02-13 00:12:00,80.5,36,6<sub>1/4</sub>,--,新疆和田东南,5,0
1947-08-24 00:12:00,81.9,41.5,6<sub>1/4</sub>,--,新疆拜城南,0,0
1947-06-07 00:12:00,102.7,26.7,5.5,--,四川会东东南,10,0
1947-03-27 00:12:00,102,25,5.5,--,云南大姚,4,0
1945-09-23 00:12:00,119,39.5,6<sub>1/4</sub>,--,河北滦县,600,0
1945-08-22 00:12:00,103.2,23.4,5,--,云南个旧,0,0
1944-12-19 00:12:00,124.3,39.7,6<sub>3/4</sub>,--,辽宁丹东南海域,0,0
1944-09-28 00:12:00,75,39.1,7,--,新疆乌恰南,0,0
1944-08-03 00:12:00,101.5,28.5,5<sub>3/4</sub>,--,四川冕宁西,0,0
1944-03-10 00:12:00,84,44,7.2,--,新疆新源东北,4,0
1943-03-31 00:12:00,100.1,25.7,5.5,--,云南大理,10,0
1943-02-24 00:12:00,100.5,22,5<sub>3/4</sub>,--,云南勐海一带,0,0
1942-07-09 00:12:00,122,43,6,--,内蒙古通辽一带,5,0
1942-02-01 00:12:00,100.3,23.1,6<sub>3/4</sub>,--,云南思茅,90,0
1942-01-19 00:12:00,101,22.8,5,--,云南思茅,0,0
1941-12-26 00:12:00,99.9,22.7,7,--,云南澜沧,7,0
1941-12-15 00:12:00,102.5,23.7,5,--,云南石屏,0,0
1941-10-31 00:12:00,98.4,25.4,6<sub>1/4</sub>,--,云南腾冲北,0,0
1941-10-08 00:12:00,102.3,31.7,6,--,四川黑水一带,139,0
1941-09-21 00:12:00,115.6,25.15,5<sub>3/4</sub>,--,江西寻邬北,0,0
1941-06-12 00:12:00,102.5,30.1,6,--,四川泸定、天全一带,2,0
1941-05-16 00:12:00,99.4,23.6,7,--,云南耿马大寨,16,0
1941-05-14 00:12:00,98.4,25.8,5.5,--,云南腾冲北,19,0
1941-05-05 00:12:00,127.2,47,6,--,黑龙江绥化,132,0
1940-08-05 00:12:00,122,40.2,5<sub>3/4</sub>,--,辽宁熊岳,2,0
1940-06-19 00:12:00,102.6,24.5,5<sub>3/4</sub>,--,云南玉溪北,2,0
1940-04-06 00:12:00,102.3,23.9,6,--,云南石屏,181,0
1940-04-03 00:12:00,102.4,24.4,5,--,云南玉溪,0,0
1940-01-19 00:12:00,121.3,42.7,6,--,内蒙古奈曼旗、库伦旗西,0,0
1939-09-19 00:12:00,102.6,24.4,5.5,--,云南玉溪,0,0
1939-03-13 00:12:00,104.7,36.6,5,--,甘肃靖远,0,0
1939-01-08 00:12:00,121.6,37.1,5.5,--,山东乳山县东北,8,0
1938-05-14 00:12:00,99.5,21.7,6,--,云南澜沧,3,0
1938-03-14 00:12:00,103.6,32.3,6,--,四川松潘南,7,0
1937-11-10 00:12:00,102.8,24.9,5,--,云南呈贡,0,0
1937-08-01 00:12:00,115.1,35.4,7,--,山东菏泽,18000,0
1937-06-11 00:12:00,126.6,44.2,5,--,吉林吉林市北,0,0
1937-01-07 00:12:00,97.6,35.5,7.5,--,青海阿兰湖东,0,0
1936-11-12 00:12:00,74.2,39.5,5.5,--,新疆乌恰西南,0,0
1936-08-17 00:12:00,103,26.6,5.5,--,云南会泽—巧家,30,0
1936-08-01 00:12:00,105.7,34.2,6,--,甘肃天水南,181,0
1936-05-16 00:12:00,103.6,28.5,6<sub>3/4</sub>,--,四川马边、雷波西宁,550,0
1936-04-27 00:12:00,103.6,28.9,6<sub>3/4</sub>,--,四川马边,27,0
1936-04-01 00:12:00,109.4,22.5,6<sub>3/4</sub>,7,广西灵山东北,94,0
1936-02-07 00:12:00,103.4,35.4,6<sub>3/4</sub>,--,甘肃康乐西南,42,0
1935-12-18 00:12:00,103.6,28.7,6,--,四川马边,100,0
1934-10-27 00:12:00,119.2,39.9,5,--,河北抚宁,0,0
1934-09-23 00:12:00,105.7,36.6,5,--,宁夏海原,0,0
1934-06-09 00:12:00,103.7,32,5.5,--,四川茂汶迭溪,10,0
1934-05-21 00:12:00,118.2,25,5<sub>3/4</sub>,--,福建安溪附近,0,0
1934-05-03 00:12:00,103.1,26.6,5<sub>1/4</sub>,--,云南东川巧家间,0,0
1934-01-21 00:12:00,108.8,41,6<sub>1/4</sub>,--,内蒙古五原附近,0,0
1934-01-12 00:12:00,102.7,23.7,6,--,云南石屏附近,1,0
1933-10-15 00:12:00,104,31.8,5<sub>3/4</sub>,--,四川茂汶北,0,0
1933-09-26 00:12:00,86.9,38.3,6<sub>3/4</sub>,--,新疆若羌西南,8,0
1933-08-25 00:12:00,103.4,31.9,7.5,--,四川茂汶北迭溪,6800,0
1933-05-13 00:12:00,97.9,24.3,5.5,--,云南陇川,0,0
1932-12-25 00:12:00,96.7,39.7,7.6,--,甘肃玉门昌马,275,0
1932-11-03 00:12:00,103.1,24.5,5,--,云南弥勒糯租一带,0,0
1932-04-06 00:12:00,115,31.4,6,--,湖北麻城北,6,0
1932-03-07 00:12:00,101.8,30.1,6,--,四川康定一带,100,0
1931-09-13 00:12:00,90.8,28.3,6.5,--,西藏洛札,0,0
1931-08-11 00:12:00,89.8,47.1,8,--,新疆富蕴附近,10000,0
1931-07-01 00:12:00,109,30,5,--,湖北利川、清坪一带,0,0
1931-01-07 00:12:00,98.5,25,5,--,云南腾冲,0,0
1930-09-22 00:12:00,98.4,25.8,6.5,--,云南腾冲北,3,0
1930-08-24 00:12:00,100,30,5.5,--,四川理塘附近,100,0
1930-07-24 00:12:00,104.8,34.4,5.5,--,甘肃武山南,0,0
1930-05-15 00:12:00,103,26.8,6,--,云南巧家南,42,0
1930-01-03 00:12:00,119.4,32.2,5.5,--,江苏镇江,0,0
1929-01-20 00:12:00,111.3,40.7,5.5,--,内蒙古毕克齐,40,0
1929-01-14 00:12:00,111.3,40.7,6,--,内蒙古毕克齐,2,0
1928-09-23 00:12:00,101.8,25.4,5.5,--,云南禄丰西北,0,0
1928-07-20 00:12:00,102.5,31.5,5<sub>3/4</sub>,--,四川小金北,6,0
1927-11-24 00:12:00,102.5,25.2,5.5,--,云南富民,0,0
1927-09-23 00:12:00,85.6,42.3,6<sub>3/4</sub>,--,新疆和静西,0,0
1927-05-23 00:12:00,102.2,37.7,8,--,甘肃古浪,41400,0
1927-03-20 00:12:00,102,24.1,5,--,云南新平,0,0
1927-03-15 00:12:00,103,26,6,--,云南寻甸,26,0
1926-11-21 00:12:00,100.3,25.6,5.5,--,云南凤仪,0,0
1926-10-28 00:12:00,122.7,48,5,--,蒙古布特哈旗,0,0
1926-08-11 00:12:00,101.5,29.5,5.5,--,四川康定西南,1,0
1925-10-15 00:12:00,100,27,5<sub>3/4</sub>,--,云南丽江,12,10
1925-07-27 00:12:00,115.5,31.7,5,--,河南商城,0,0
1925-03-16 00:12:00,100.4,25.7,7,--,云南大理附近,3636,0
1925-01-27 00:12:00,114.9,24.4,5,--,广东和平,0,0
1925-01-12 00:12:00,91.5,30.5,5.5,--,西藏当雄一带,0,0
1924-10-09 00:12:00,90,30,6.5,--,西藏拉萨西北,0,0
1924-07-03 00:12:00,83.8,36.8,7<sub>1/4</sub>,--,新疆民丰东,255,0
1923-11-13 00:12:00,111.1,38.7,5.5,--,山西岢岚,500,0
1923-10-15 00:12:00,122.5,48.5,5,--,内蒙古布特哈旗,0,0
1923-09-14 00:12:00,115.8,39.4,5.5,--,河北新城(高碑店),0,0
1923-09-04 00:12:00,105.6,36.6,5.5,--,宁夏海原,0,0
1923-09-02 00:12:00,106.2,36,5,--,宁夏固原,0,0
1923-08-12 00:12:00,103.7,36.2,5,--,甘肃兰州,0,0
1923-07-01 00:12:00,100.5,22,6.5,--,云南普洱,1,0
1923-06-14 00:12:00,100.8,31.3,5<sub>3/4</sub>,--,四川炉霍,1300,0
1923-03-24 00:12:00,101,31.5,7<sub>1/4</sub>,--,四川炉霍、道孚间,5987,0
1922-08-30 00:12:00,106.2,36,5.5,--,宁夏固原,300,0
1921-11-28 00:12:00,106.3,38.5,5.5,--,宁夏银川,0,0
1921-05-04 00:12:00,104.2,37.2,5,--,甘肃景泰,0,0
1921-04-12 00:12:00,106.2,35.8,6.5,--,宁夏固原,10000,0
1921-03-27 00:12:00,104.1,37.1,5.5,--,甘肃景泰,3,0
1921-02-15 00:12:00,104.8,34.7,5,--,甘肃武山,0,0
1921-01-31 00:12:00,106,36,5.5,--,宁夏固原,350,0
1920-12-22 00:12:00,98.5,29,6,--,西藏芒康,0,0
1920-12-16 00:12:00,104.9,36.7,8.5,--,宁夏海原,235502,0
1919-12-22 00:12:00,103.3,23.7,5.5,--,云南开远,0,0
1919-12-09 00:12:00,103.5,24.4,5.5,--,云南弥勒,1,0
1919-05-29 00:12:00,100.5,31.5,6<sub>1/4</sub>,--,四川道孚西北,20,0
1918-08-14 00:12:00,103,26.9,5.5,--,云南巧家,6,0
1918-08-09 00:12:00,114.5,34.5,5<sub>1/4</sub>,--,河南通许,0,0
1918-02-13 00:12:00,117.4,23.2,7.3,--,广东南澳,10000,0
1917-07-31 00:12:00,104,28,6<sub>3/4</sub>,--,云南大关北,1879,0
1917-02-22 00:12:00,116.2,31.3,5.5,--,安徽霍山,0,0
1917-01-24 00:12:00,116.2,31.3,6<sub>1/4</sub>,--,安徽霍山,30,0
1916-03-02 00:12:00,103.3,26.7,5<sub>1/4</sub>,--,云南会泽北,0,0
1915-12-03 00:12:00,91.5,29.5,7,--,西藏桑日附近,170,0
1914-09-26 00:12:00,103.3,26.4,5,--,云南会泽,0,0
1914-08-05 00:12:00,91.5,43.5,7.5,--,新疆巴里坤一带,1,0
1913-12-21 00:12:00,102.45,24.15,7,--,云南峨山,1314,0
1913-09-26 00:12:00,110.3,20,5,--,海南海口,1,0
1913-08-18 00:12:00,104.5,31.8,5,--,四川北川,30,0
1913-07-16 00:12:00,103.7,29.6,5,--,四川乐山,0,0
1913-04-03 00:12:00,119.5,32.2,5.5,--,江苏镇江,7,0
1913-02-07 00:12:00,114.1,32.2,5,--,河南信阳,0,0
1913-02-07 00:12:00,115,31.2,5,--,湖北麻城,0,0
1911-10-17 00:12:00,103.1,26.6,5<sub>3/4</sub>,--,云南巧家会泽间,0,0
1911-05-15 00:12:00,115,22.5,6,--,广东海丰西南海域,0,0
1911-02-06 00:12:00,116,29.7,5,--,江西九江,0,0
1911-02-05 00:12:00,109.8,23,5<sub>1/4</sub>,--,广西灵山东北,0,0
1911-01-25 00:12:00,114.5,39.8,5.9,--,河北蔚县,0,0
1909-11-11 00:12:00,114.4,38.1,5.5,--,河北获鹿,0,0
1909-08-04 00:12:00,90.5,28.8,6.5,--,西藏浪卡子,0,0
1909-05-15 00:12:00,103.6,27.2,5.5,--,云南鲁甸,0,0
1909-05-11 00:12:00,103,24.4,6.5,--,云南华宁、弥勒间,19,0
1909-02-21 00:12:00,113.6,37.4,5,--,山西和顺,0,0
1908-08-20 00:12:00,89,32,7,--,西藏奇林湖,0,0
1907-10-15 00:12:00,118.7,24.8,5,--,福建泉州,0,0
1907-05-13 00:12:00,86.3,44.2,6,--,新疆玛纳斯南,33,0
1906-12-23 00:12:00,85,43.5,7.7,--,新疆沙湾西南,285,0
1906-08-16 00:12:00,111.7,29.1,5,--,湖南常德,0,0
1906-03-28 00:12:00,118.6,24.3,6<sub>1/4</sub>,--,福建厦门东南海域,0,0
1906-01-07 00:12:00,104.1,26.2,5.5,--,云南宣威,30,0
1905-11-08 00:12:00,104.7,29.4,5,--,四川自贡,13,0
1905-08-12 00:12:00,113.4,22.1,5,--,广东澳门西南海域,0,0
1904-09-11 00:12:00,101.1,31,5.5,--,四川道孚,0,0
1904-09-09 00:12:00,101.1,31,5.5,--,四川道孚,0,0
1904-08-30 00:12:00,101.1,31,7,--,四川道孚,400,0
1902-08-22 00:12:00,76.2,39.9,8<sub>1/4</sub>,--,新疆阿图什北,5650,0
1902-07-03 00:12:00,129.4,43.4,6.6,20,吉林汪清,0,0
1901-04-26 00:12:00,90.1,29.5,6<sub>3/4</sub>,--,西藏尼木,17,0
1901-02-15 00:12:00,100.1,26,6.5,--,云南邓川东西两湖,0,0
,103.2,23.4,5,--,云南个旧,3,0
,102.2,28.7,5.5,--,四川冕宁大桥,0,0
,99.9,26.5,5,--,云南剑川南,0,0
,114.2,36.1,5,--,河南安阳西,0,0
,106,33.5,5.5,--,陕西略阳北,0,0
,111.3,35.7,5,--,山西新绛,0,0
,103.4,24.4,5,20,云南弥勒,0,0
,97.5,28.5,6.5,--,西藏察隅,0,0
,98.7,24.6,5.5,--,云南龙陵,0,0
,102.2,28.7,6,--,四川省冕宁,0,0
,103,23.5,5.5,--,云南建水东,0,0
,103.7,27.3,5,--,云南昭通,0,0
,99.9,26.5,5.5,--,云南剑川及第村,0,0
,98.7,24.6,5.5,--,云南龙陵,1,0
,102.7,24.7,5,--,云南晋宁,0,0
,103.5,30.5,5,--,四川邛崃一带,0,0
,102.6,36.4,5<sub>1/4</sub>,--,青海西宁东,0,0
,79.5,42.9,6,--,新疆鄯善西北,0,0
,102.2,31.8,5,--,四川马尔康,0,0
,99.9,26.3,5.5,--,云南剑川、洱源间,10,0
,104,27,5.5,--,云南昭通东南,0,0
